Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,RELEVEN location type,Date,Dating authority,Outside source,Notes
Adrianos,102,339753,Kassandra (Chalkidike),,,Lavra,250.12,Kassandra (Chalkidike): was granted by his brother <Alexios 1> the revenues of the peninsula of Kassandra (Chalkidike),Does not specify presence,,,,
Adrianos,102,417078,West (whole),,,Seals,,West (whole): was megas domestikos of the West (whole),Dignity,,,,
Adrianos,102,417079,West (whole),,,Seals,,West (whole): was megas domestikos of the West (whole),Dignity,,,,
Adrianos,102,417754,West (whole),,,Seals,,West (whole): was megas domestikos of the West (whole),Dignity,,,,
Adrianos,102,418569,West (whole),,,Seals,,West (whole): was megas domestikos of the West (whole),Dignity,,,,
Agapetos,101,225934,Adrianople (Thrace),https://pleiades.stoa.org/places/5014275,,Alexios Stoudites,"20.1, Rhalles-Potles 5.24, 5.32",Adrianople: was metropolitan of Adrianople,Dignity,,,,
Agapetos,102,225960,Antioch (Pisidia?),,,Alexios Stoudites,26.17,Antioch (Pisidia?): was metropolitan of Antioch (Pisidia?),Dignity,,,,
Agapetos,103,279477,Berboulidion (Meander valley),,,Patmos: Acts,2.12.163,Berboulidion (Meander valley): was a paroikos at the proasteion of Berboulidion (Meander valley),Dignity,,,,
Aikaterine,101,227391,Constantinople: Myrelaion,,,Glykas,604.2,Constantinople: Myrelaion: led an ascetic life at the monastery of  Myrelaion,Specifies presence,,,,
Aimilianos,61,234830,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Attaleiates: History,270.7 / 193.21,Antioch (on the Orontes): was patriarch of Antioch (on the Orontes),Dignity,,,,
Aimilianos,61,379896,Thaumatourgos,,,Psellos,"Letters (K - D) 138, 164.14-166.9",Thaumatourgos: had cowed the monks of the monastery of Thaumatourgos,Does not specify presence,J 1064-68,Other,"Jeffreys, 2017",
Aimilianos,61,379711,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Psellos,Letters (Sathas) 42.275,Antioch (on the Orontes): was patriarch of Antioch (on the Orontes),Dignity,,,,
Aimilianos,61,,,,,Zonaras,18.18.10,Constantinople: led meeting which proclaimed <Nikephoros 3> in Constantinople,Specifies presence,,,,
Aimilianos,61,247122,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Zonaras,"18.18.10, 18.19.25",Antioch (on the Orontes): was patriarch of Antioch (on the Orontes),Dignity,,,,
Alexios,1,431596,Nicaea: lake,,,Albert of Aachen,II.32,Nicaea: lake: gave the crusaders boats which were dragged to the  lake,Does not specify presence,,,,"Albert says that Alexios sent boats and troops to the lake near Nicaea, but it si not specified whether Alexios went to the lake with the troops or he stayed in Constantinople."
Alexios,1,431676,Philomelion (Asia Minor),https://pleiades.stoa.org/places/609501,,Albert of Aachen,IV.40,Philomelion: turned back from the crusade at Philomelion,Specifies presence,,,,
Alexios,1,431816,Ankyra,https://pleiades.stoa.org/places/619103,,Albert of Aachen,VIII.8,"Ankyra: after its capture by the crusade of 1101, duly received Ankyra",Specifies presence,,,,"June 23, 1101, p. 596, n. 30, suggested by the editor."
Alexios,1,372909,Amaseia,https://pleiades.stoa.org/places/857018,,Anna Komnene,14.1-4,Amaseia: appealed for money to the citizens of Amaseia,Specifies presence,,,,
Alexios,1,372910,Kastamon (Paphlagonia),https://pleiades.stoa.org/places/844974,,Anna Komnene,17.78,Kastamon: stopped to rest the troops at Kastamon,Specifies presence,,,,
Alexios,1,372912,Thrace,,,Anna Komnene,19.54,Thrace: set up camp in Thrace,Specifies presence,,,,
Alexios,1,372913,Halmyros (Thrace),,,Anna Komnene,19.54,Halmyros (Thrace): set up camp in Thrace near the river Halmyros (Thrace),Specifies presence near,,,,
Alexios,1,372914,Vardar,https://pleiades.stoa.org/places/491534,,Anna Komnene,28.33,Vardar: came to the the river Vardar,Specifies presence,,,,
Alexios,1,372915,Berroia (Macedonia),,,Anna Komnene,28.36,Berroia: came to the Vardar river where it split in two in the region of Berroia,Specifies presence,,,,
Alexios,1,372916,Thessalonike,https://pleiades.stoa.org/places/491741,,Anna Komnene,28.36,Thessalonike: came to the Vardar river where it split in two in the region of Thessalonike,Specifies presence,,,,
Alexios,1,372917,Philippi (Macedonia),https://pleiades.stoa.org/places/501564,,Anna Komnene,34.90,Philippi: was met by imperial emmissaries between Amphipolis and Philippi,Specifies presence near,,,,
Alexios,1,372918,Amphipolis (Macedonia),https://pleiades.stoa.org/places/501347,,Anna Komnene,34.90,Amphipolis: was met by imperial emmissaries between Philppi and Amphipolis,Specifies presence near,,,,
Alexios,1,372919,Constantinople: Pege monastery and palace,,,Anna Komnene,52.76,Constantinople: Pege monastery and palace: met <Georgios 15002> at the Pege Monastery,Specifies presence near,,,,Anna clearly says that the meeting took place περι - near the monastery.
Alexios,1,372921,Constantinople: Kosmidion,,,Anna Komnene,69.29,Constantinople: Kosmidion: left Constantinople and took his followers to  Sts Kosmas and Damianos at Paulinou,Specifies presence,,,,
Alexios,1,372922,Tzouroulos,,,Anna Komnene,70.60,Tzouroulos: met up with <Georgios 61> and the troops at Tzouroulos,Specifies presence,,,,
Alexios,1,372923,Adrianople (Thrace),https://pleiades.stoa.org/places/5014275,,Anna Komnene,72.32,Adrianople: was not acclaimed by the citizens of Adrianople,?,,,,I do not see that Anna mentions Adrianople at all in this section.
Alexios,1,372924,Schiza (Thrace),,,Anna Komnene,72.35,Schiza (Thrace): camped at the village of Schiza (Thrace),Specifies presence,,,,
Alexios,1,372925,Athyras (Thrace),https://pleiades.stoa.org/places/511172,,Anna Komnene,72.34,Athyras (Thrace): on his way to Constantinople moved through Athyras (Thrace),Specifies presence,,,,
Alexios,1,372926,Aretai,,,Anna Komnene,77.75,Aretai: made his base for the attack of Constantinople at Aretai,Specifies presence,,,,
Alexios,1,372927,Constantinople: Boukoleon,,,Anna Komnene,89.66,Constantinople: Boukoleon: moved with his brothers and mother to the palace of  Boukoleon,Specifies presence,,,,
Alexios,1,372928,Thessalonike,https://pleiades.stoa.org/places/491741,,Anna Komnene,127.42,Thessalonike: received at Thessalonike a message that things were going badly for <Georgios 61>,Specifies presence / Specifies presence near,,,,"""Reaching Thessaloniki"" doesn't mean that Alexios entered the city."
Alexios,1,372929,Charzanes,,,Anna Komnene,129.83-84,Charzanes: set up camp near the river Charzanes,Specifies presence near,"J 1081, October 15",,,
Alexios,1,372931,"Baba Gora (Mt, between Dyrrachion and Bitola)",,,Anna Komnene,140.23,"Baba Gora (Mt, between Dyrrachion and Bitola): retired to Ohrid after spending a time in the Baba Gora (Mt, between Dyrrachion and Bitola) (mountainous area)",Specifies presence,,,,
Alexios,1,372932,Ohrid,https://pleiades.stoa.org/places/481900,,Anna Komnene,140.21,Ohrid: after spending a time in the Babagora retired to Ohrid,Specifies presence,,,,
Alexios,1,372933,Ohrid,https://pleiades.stoa.org/places/481900,,Anna Komnene,142.42,Ohrid: rested at Ohrid,Specifies presence,,,,
Alexios,1,372936,Ioannina,,,Anna Komnene,149.66,Ioannina: faced the army of <Bohemond 61> at Ioannina,Specifies presence,"J 1082, May",Aleksandar,,
Alexios,1,372937,Ohrid,https://pleiades.stoa.org/places/481900,,Anna Komnene,151.12,"Ohrid: fled from the battle-site at Ioannina, arriving in Ohrid",Specifies presence,,,,
Alexios,1,372938,Strougai,,,Anna Komnene,151.12,Strougai: travelled from Ioannina to Ohrid via Strougai,Specifies presence / Specifies presence near,,,,"""going via"" might be both through the city or nearby, through the region."
Alexios,1,372939,Vardar,https://pleiades.stoa.org/places/491534,,Anna Komnene,151.14,Vardar: collected troops for a new attack against <Bohemond 61> at the river Vardar,Specifies presence,,,,
Alexios,1,372942,Larissa (Thessaly),https://pleiades.stoa.org/places/540905,,Anna Komnene,154.21,Larissa: advanced through the region of Larissa,Specifies presence,"J 1083, April",Aleksandar,,"""on the festival of St. George the Martyr"""
Alexios,1,372943,"Kellia, Mount",,,Anna Komnene,154.22,"Kellia, Mount: took his army to Larissa going over Kellia, Mount",Specifies presence,"J 1083, April",Aleksandar,,"""on the festival of St. George the Martyr"""
Alexios,1,372944,Exebas,,,Anna Komnene,154.23-24,Exebas: took his army to Larissa via the Vlach village of Exebas,Specifies presence / Specifies presence near,"J 1083, April",Aleksandar,,"""going via"" might be both through the city or nearby, through the region."
Alexios,1,372945,Plabitza,,,Anna Komnene,154.25,"Plabitza: on the way to Larissa, made camp at Plabitza",Specifies presence,"J 1083, April",Aleksandar,,"""on the festival of St. George the Martyr"""
Alexios,1,372946,Trikala,,,Anna Komnene,155.29,Trikala: visited the gardens of Delphinas and reached Trikala,Specifies presence,,,,
Alexios,1,372947,Larissa (Thessaly),https://pleiades.stoa.org/places/540905,,Anna Komnene,160.11,"Larissa: finally victorious against <Bohemond 61>, left Larissa",Specifies presence,,,,
Alexios,1,372948,Thessalonike,https://pleiades.stoa.org/places/491741,,Anna Komnene,160.11,Thessalonike: moved from Larissa to Thessalonike,Specifies presence,,,,
Alexios,1,372950,Mosynopolis (Thrace),https://pleiades.stoa.org/places/501574,,Anna Komnene,170.83,Mosynopolis: met and imprisoned the Manichaeans at Mosynopolis,Specifies presence,,,,
Alexios,1,372953,Raidestos (Thrace),https://pleiades.stoa.org/places/511187,,Anna Komnene,182.36,Raidestos: exiled <Symeon 118> to Raidestos,Does not specify presence,,,,
Alexios,1,372955,Sinope,https://pleiades.stoa.org/places/857321,,Anna Komnene,188.35,Sinope: sent <Siaous 15001> and <Konstantinos 15019> to recapture Sinope,Does not specify presence,,,,
Alexios,1,372956,Nikomedeia,https://pleiades.stoa.org/places/511337,,Anna Komnene,191.48-49,Nikomedeia: had a fortification built to counter the Turkish occupation of Nikomedeia,Does not specify presence,,,,
Alexios,1,372958,Adrianople (Thrace),https://pleiades.stoa.org/places/5014275,,Anna Komnene,204.45,Adrianople: could tolerate the Pecheneg invasions no longer and so gathered his troops and moved to Adrianople,Specifies presence / Specifies presence near,1087,Aleksandar,,"""marched to"" doesn't mean Alexios actually was in the city."
Alexios,1,372959,Lardeas,,,Anna Komnene,204.45,Lardeas: in countering the Pecheneg incursions moved from Adrianople to Lardeas,Specifies presence,,,,
Alexios,1,372960,Lardeas,,,Anna Komnene,204.45,Lardeas: made <Georgios 8109> a general and ordered him to Dristra by sea whilst at Lardeas,Specifies presence,,,,
Alexios,1,372961,Dristra,https://pleiades.stoa.org/places/216800,,Anna Komnene,204.47,Dristra: sent <Georgios 8109> to Dristra,Does not specify presence,,,,
Alexios,1,372962,Sidera (Haimos),,https://www.geonames.org/734313,Anna Komnene,208.68,Sidera: was eager to attack the Pechenegs and so moved his troops across the Sidera,Specifies presence,,,,
Alexios,1,372963,Bitzina,,,Anna Komnene,208.69,Bitzina: was eager to attack the Pechenegs and so set up camp near the river Bitzina,Specifies presence near,,,,
Alexios,1,372964,Pliskova,,,Anna Komnene,209.73,Pliskova: moved the army from the Bitzina river to Pliskova,Specifies presence,,,,
Alexios,1,372965,Dristra,https://pleiades.stoa.org/places/216800,,Anna Komnene,209.77,Dristra: set up camp but was attacked by Pechenegs near Dristra,Specifies presence near,,,,
Alexios,1,372966,Dristra,https://pleiades.stoa.org/places/216800,,Anna Komnene,209.88-89,Dristra: besieged and took the town of Dristra,Specifies presence,,,,
Alexios,1,372967,Dristra,https://pleiades.stoa.org/places/216800,,Anna Komnene,209.92,Dristra: captured the town but gave up upon the siege of the twin citadels of Dristra,Specifies presence,,,,
Alexios,1,372968,Betrinon,,,Anna Komnene,211.39,Betrinon: sent his baggage train on to Betrinon,Does not specify presence,,,,
Alexios,1,372970,Goloe,,,Anna Komnene,214.53,Goloe: moved on to Beroe after the battle against the Pechenegs at Goloe,Specifies presence,,,,
Alexios,1,372973,Ozolimne (Chalkidike),,,Anna Komnene,217.26,Ozolimne (Chalkidike): settled many Huns (Uzes) in a certain area and this area became known consequently as Ozolimne (Chalkidike),Does not specify presence,,,,
Alexios,1,372975,Adrianople (Thrace),https://pleiades.stoa.org/places/5014275,,Anna Komnene,218.57,Adrianople: moved his troops on from Beroe to Adrianople,Specifies presence,,,,
Alexios,1,372976,Markella (between Goloe and Diampolis),,,Anna Komnene,218.59,Markella (between Goloe and Diampolis): sent <Synesios 15001> to negotiate with the Pechenegs who were encamped at Markella (between Goloe and Diampolis),Does not specify presence,,,,
Alexios,1,372977,Philippopolis,https://pleiades.stoa.org/places/216927,,Anna Komnene,219.85,Philippopolis: opposed the Pechenegs with ambushes rather than with a direct military assault when they had taken Philippopolis,Does not specify presence,,,,
Alexios,1,372978,Kypsella (Thrace),https://pleiades.stoa.org/places/501489,,Anna Komnene,219.1,Kypsella: arrived at the same time as the Pechenegs at Kypsella,Does not specify presence,,,,
Alexios,1,372979,Boulgarophygon,,https://www.geonames.org/751371,Anna Komnene,220.22,Boulgarophygon: sent a detachment of young men to Charioupolis whilst in Boulgarophygon,Specifies presence,J 1090,Source,,
Alexios,1,372980,Charioupolis,https://pleiades.stoa.org/places/511206,,Anna Komnene,220.21,Charioupolis: sent his Archontopouloi to attack the Pechenegs at Charioupolis,Does not specify presence,,,,
Alexios,1,372981,Apros,https://pleiades.stoa.org/places/507367,,Anna Komnene,221.45,Apros: occupied the city himself to forestall a Pecheneg capture of Apros,Specifies presence,,,,
Alexios,1,372982,Nikomedeia,https://pleiades.stoa.org/places/511337,,Anna Komnene,222.66,Nikomedeia: sent the Flemish knights he had received from the count of Flanders (<Robert 62>) to Nikomedeia,Does not specify presence,,,,
Alexios,1,372983,Methymna (Lesbos),https://pleiades.stoa.org/places/550738,,Anna Komnene,222.83,Methymna: sent vessels with a large force to defend Methymna,Does not specify presence,,,,
Alexios,1,372984,Chios,https://pleiades.stoa.org/places/550497,,Anna Komnene,223.1,"Chios: sent first <Niketas 108>, and on his defeat <Konstantinos 15019>, to attack <Tzachas 61> who had taken Chios",Does not specify presence,,,,
Alexios,1,372985,Dyrrachion,https://pleiades.stoa.org/places/573193,,Anna Komnene,225.2,Dyrrachion: sent <Ioannes 65> to defend Dyrrachion,Does not specify presence,,,,
Alexios,1,372987,Rousion (Thrace),,,Anna Komnene,227.37,Rousion (Thrace): heard that the Pechenegs were encamped at Polybotos and immediately left Constantinople for Rousion (Thrace),Specifies presence,,,,
Alexios,1,372988,Polybotos,,,Anna Komnene,227.37-38,Polybotos: immediately left Constantinople for Rousion on hearing that the Pechenegs were encamped at Polybotos,Does not specify presence,,,,
Alexios,1,372989,Rousion (Thrace),,,Anna Komnene,227.45,Rousion (Thrace): engaged the Pechenegs but was defeated by them at Rousion (Thrace),Specifies presence,,,,
Alexios,1,396876,Preslav (Great),,,Anna Komnene,210.18,Preslav (Great): was advised to secure a base for guerilla warfare at Preslav (Great),Does not specify presence,,,,
Alexios,1,396878,Ozolimne (Chalkidike),,,Anna Komnene,217.20-218.49,"Ozolimne: after his defeat by the Pechenegs, the Cumans blockaded them at Ozolimne",Does not specify presence,,,,
Alexios,1,433011,Constantinople: Hagios Georgios Sykeotes,,,Anna Komnene,84.90,Constantinople: Hagios Georgios Sykeotes: Constantinople: Hagios Georgios Sykeotes: stopped in indecision at the square of Hagios Georgios Sykeotes,Specifies presence,,,,
Alexios,1,433322,Devol,,https://www.geonames.org/791497,Anna Komnene,142.43,Devol: to raise the morale of his defeated troops went to Devol,Specifies presence,,,,
Alexios,1,433444,Thessalonike: Hagios Demetrios,,https://www.geonames.org/6779078,Anna Komnene,155.58,"Thessalonike: Hagios Demetrios: dreamed of a prophecy of victory and promised, if true, a pilgrimage to the church of Hagios Demetrios",Does not specify presence,,,,
Alexios,1,433503,Constantinople: Antiphonetes,,,Anna Komnene,173.64-65,"Constantinople: Antiphonetes: After taking gold and silver decorations from the tomb of <Zoe 1>, he arranged for restitution to be made to the Antiphonetes",Does not specify presence,,,,
Alexios,1,433504,Constantinople: Chalkoprateia,,,Anna Komnene,173.68,Constantinople: Chalkoprateia: arranged for compensation to be made for gold decoration taken from the Chalkoprateia,Does not specify presence,,,,
Alexios,1,433596,Dyrrachion,https://pleiades.stoa.org/places/573193,,Anna Komnene,179.35,"Dyrrachion: among many cities in which concessions were made to the Venetians, included Dyrrachion",Does not specify presence,,,,
Alexios,1,433871,Boulgarophygon,,https://www.geonames.org/751371,Anna Komnene,220.22,"Boulgarophygon: in spring, he was at Boulgarophygon",Specifies presence,J 1090,,,
Alexios,1,433984,Tzouroulos,,,Anna Komnene,232.19,Tzouroulos: defeated Pechenegs twice near Tzouroulos,Specifies presence near,,,,
Alexios,1,433998,Dimylia,,,Anna Komnene,239.91,"Dimylia: met <Georgios 61>, with some of his troops disguised as Pechenegs, at the plain of Dimylia",Specifies presence,J 1091,Editor,,
Alexios,1,434016,Ainos,https://pleiades.stoa.org/places/501337,,Anna Komnene,242.5,Ainos: gathered his army at Ainos,Specifies presence near,,,,
Alexios,1,434018,Choirenoi,,,Anna Komnene,242.17,Choirenoi: fortified a camp at Choirenoi,Specifies presence near,,,,
Alexios,1,434046,Lebounion,,,Anna Komnene,245.6,Lebounion: pitched his camp on the top of Mt Lebounion,Specifies presence,,,,
Alexios,1,434071,Lebounion,,,Anna Komnene,247.57,"Lebounion: with Cuman help, destroyed the whole race of Pechenegs at Lebounion",Specifies presence near,,,,
Alexios,1,434099,Philippopolis,https://pleiades.stoa.org/places/216927,,Anna Komnene,252.15,"Philippopolis: at rumours of an invasion by <Konstantinos 102>, he went to Philippopolis",Specifies presence,,,,
Alexios,1,434281,Skopje (Macedonia),https://pleiades.stoa.org/places/481987,,Anna Komnene,266.63,"Skopje (Macedonia): en route for Lipenion, stopped at Skopje",Specifies presence,1093,Editor,,
Alexios,1,434489,Anchialos,https://pleiades.stoa.org/places/216702,,Anna Komnene,286.43,Anchialos: organised the war against the Cumans from Anchialos,Specifies presence,,,,
Alexios,1,434589,Mikra Nikaia,,,Anna Komnene,293.71,Mikra Nikaia: He redistributed booty back to its owners at Mikra Nikaia,Does not specify presence,,,,
Alexios,1,434601,Sidera (Haimos),,https://www.geonames.org/734313,Anna Komnene,295.46,Sidera (Haimos): He killed and captured Cuman fugitives at the Sidera,Specifies presence near,,,,Anna clearly says περἰ which is 'near'
Alexios,1,434606,Goloe,,,Anna Komnene,295.50,Goloe: celebrated his victory in a day at Goloe,Specifies presence,,,,
Alexios,1,434613,Dyrrachion,https://pleiades.stoa.org/places/573193,,Anna Komnene,298.64,Dyrrachion: sent leaders with translators to meet the crusaders near,Does not specify presence,,,,
Alexios,1,434614,Avlon (Albania),,,Anna Komnene,298.64,Avlon (Albania): sent leaders with translators to meet the crusaders near Avlon,Does not specify presence,,,,
Alexios,1,434641,Athyras (Thrace),https://pleiades.stoa.org/places/511172,,Anna Komnene,309.74,Athyras (Thrace): ordered mercenaries to be stationed on the line from Philea to Athras,Does not specify presence,,,,
Alexios,1,434642,Philea (Thrace),https://pleiades.stoa.org/places/511361,,Anna Komnene,309.74,Philea (Thrace): ordered mercenaries to be stationed on the line from Athyras to Philea (a village on the Black Sea),Does not specify presence,,,,
Alexios,1,434652,Hieron,,,Anna Komnene,315.63,"Hieron: housed the crusaders far up the Bosporos, even at Hieron",Specifies presence / Specifies presence near,,,,"""right up to Hieron"" might be in Hieron but also near that place."
Alexios,1,434672,Pelekanos,,,Anna Komnene,321.44,"Pelekanos: to observe all sides in the siege of Nicaea, he took up position at Pelekanos",Does not specify presence,,,,"Here Anna does not say that Alexios was in Pelekanos, but that he thought it would be a wise idea to go there."
Alexios,1,435280,Kios (Bithynia),https://pleiades.stoa.org/places/511385,,Anna Komnene,325.20,Kios (Bithynia): had boats dragged to the lake of Nicaea from Kios,Does not specify presence,,,,
Alexios,1,435397,Maraqiyya,,,Anna Komnene,343.85,Maraqiyya: told <Raymond 61> to negotiate with <Eumathios 102> over Maraqiyya,Does not specify presence,"J 1099, February",Editor,,
Alexios,1,435403,Laodikeia (Syria),https://pleiades.stoa.org/places/668290,,Anna Komnene,343.84,Laodikeia (Syria): told <Raymond 61> to put <Andronikos 15004> in charge of Laodikeia,Does not specify presence,"J 1099, February",Editor,,
Alexios,1,435479,Cilicia,https://pleiades.stoa.org/places/981514,,Anna Komnene,349.59-61,Cilicia: ordered <Manuel 62> to attack Cilicia,Does not specify presence,,,,
Alexios,1,435480,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Anna Komnene,349.61,Antioch (on the Orontes): ordered an attack on Cilicia to prepare the way for an advance on Antioch,Does not specify presence,,,,
Alexios,1,435617,Pisa,,,Anna Komnene,359.21,"Pisa: wrote letters to places where <Bohemond 61> had gone to make propaganda against him, especially Pisa",Does not specify presence,,,,
Alexios,1,435618,Venice,https://pleiades.stoa.org/places/818739154,,Anna Komnene,359.21,"Venice: wrote letters to places where <Bohemond 61> had gone to make propaganda against him, especially Venice",Does not specify presence,,,,
Alexios,1,435648,Sthlanitza (Macedonia),,,Anna Komnene,364.70,Sthlanitza (Macedonia): ordered his western commanders to travel immediately to Sthlanitza,Does not specify presence,,,,
Alexios,1,435666,Stroumitza (Macedonia),,https://www.geonames.org/785380,Anna Komnene,369.33,"Stroumitza (Macedonia): in preparing to fight <Bohemond 61>, he went from Thessalonike to Stroumitsa",Specifies presence / Specifies presence near,,,,
Alexios,1,443412,Kyklades,https://pleiades.stoa.org/places/560353,,Anna Komnene,369.25,"Kyklades: he had a fleet raised against <Bohemond 61>, mainly from the Kyklades Islands",Does not specify presence,,,,
Alexios,1,443413,Dyrrachion,https://pleiades.stoa.org/places/573193,,Anna Komnene,369.23,Dyrrachion: He had fortifications prepared against <Bohemond 61> at Dyrrachion,Does not specify presence,,,,"I leave ""NO PRESENCE"" because it's not specified whether the emperor was in the town or strengthened it from distance."
Alexios,1,443817,Chersonesos (Thrace),https://pleiades.stoa.org/places/501386,,Anna Komnene,435.35,Chersonesos (Thrace): built a temporary base at the Chersonesos,Specifies presence,J 1111,Editor,,
Alexios,1,443818,Adramyttion,https://pleiades.stoa.org/places/550403,,Anna Komnene,435.37,Adramyttion: stationed a defensive force at Adramyttion,Does not specify presence,J 1111,Editor,,
Alexios,1,443819,Thrakesion,,,Anna Komnene,435.37,Thrakesion: stationed a defensive force in Thrakesion,Does not specify presence,J 1111,Editor,,
Alexios,1,443821,Madyta,,https://www.geonames.org/747728,Anna Komnene,435.48,Madyta: stationed a naval force at Madyta to patrol the straits,Does not specify presence,,,,
Alexios,1,443922,Malagina,,,Anna Komnene,446.73,"Malagina: overtook a Turkish army, taking a short cut via Malagina",Specifies presence / Specifies presence near,,,,
Alexios,1,443955,Philippopolis,https://pleiades.stoa.org/places/216927,,Anna Komnene,454.20,"Philippopolis: to defend against the Cumans, stationed troops at Philippopolis",Does not specify presence,"J 1114, November",Source,,"""the eighth Indiction in the month of November in the beginning of autumn"""
Alexios,1,443957,Petritzos,,https://www.geonames.org/733550,Anna Komnene,454.20-21,"Petritzos: to defend against the Cumans, stationed troops at Petritzos",Does not specify presence,"J 1114, November",Source,,"""the eighth Indiction in the month of November in the beginning of autumn"""
Alexios,1,443958,"Triaditza (Serdica, Bulgaria)",https://pleiades.stoa.org/places/207439,,Anna Komnene,454.21,"Triaditza (Serdica, Bulgaria): to defend against the Cumans, stationed troops at Triaditza (Serdica, Bulgaria)",Does not specify presence,"J 1114, November",Source,,"""the eighth Indiction in the month of November in the beginning of autumn"""
Alexios,1,443959,Nis (Naissus),,,Anna Komnene,454.21,"Nis (Naissus): to defend against the Cumans, stationed troops in the theme of Nis",Does not specify presence,"J 1114, November",Source,,"""the eighth Indiction in the month of November in the beginning of autumn"""
Alexios,1,443960,Branicevo,,,Anna Komnene,454.22,"Branicevo: to defend against the Cumans, even stationed troops at Branicevo",Does not specify presence,"J 1114, November",Source,,"""the eighth Indiction in the month of November in the beginning of autumn"""
Alexios,1,444007,Ikonion,https://pleiades.stoa.org/places/648647,,Anna Komnene,461.8,Ikonion: planned to meet <Melikshah 101> by marching to Ikonion,Does not specify presence,,,,
Alexios,1,444011,Lopadion (Bithynia),,https://www.geonames.org/738449,Anna Komnene,462.39,Lopadion (Bithynia): He gathered his army and was based for several months at Lopadion,Specifies presence,,,,
Alexios,1,444044,Helenopolis (Bithynia),https://pleiades.stoa.org/places/511240,,Anna Komnene,465.43,Helenopolis (Bithynia): saw <Eirene 61> again and reassured her at Helenoupolis,Specifies presence,,,,
Alexios,1,444056,Nicaea,https://pleiades.stoa.org/places/511268,,Anna Komnene,465.48,"Nicaea: in countering the scouts of <Monolykos 101>, he moved rapidly in the area around Nicaea",Specifies presence near,,,,
Alexios,1,444057,Kios (Bithynia),https://pleiades.stoa.org/places/511385,,Anna Komnene,465.51,"Kios (Bithynia): in trying to counter small Turkish incursions, he visited Kios",Specifies presence,,,,
Alexios,1,444062,Nikomedeia,https://pleiades.stoa.org/places/511337,,Anna Komnene,466.77,Nikomedeia: withdrew to rest and feed his men and animals around Nikomedeia,Specifies presence near,,,,
Alexios,1,444063,Nicaea,https://pleiades.stoa.org/places/511268,,Anna Komnene,469.68,Nicaea: advanced again from Nikomedeia to Nicaea,Specifies presence / Specifies presence near,J 1116,Editor,,"""the sun was now returning from its large circuits, and as the autumn equinox was passed"""
Alexios,1,444065,Ikonion,https://pleiades.stoa.org/places/648647,,Anna Komnene,469.67,Ikonion: began an attempt with all his forces on Ikonion,Specifies presence / Specifies presence near,J 1116,Editor,,"""the sun was now returning from its large circuits, and as the autumn equinox was passed"""
Alexios,1,444066,Pithekas (Asia Minor),,,Anna Komnene,469.76,Pithekas (Asia Minor):  crossed the bridge near Pithekas,Specifies presence,J 1116,Editor,,"it is not ""near"" Pithekas but on the bridge OVER the river Pithekas, so specifies presence."
Alexios,1,444067,Dorylaion,https://pleiades.stoa.org/places/609367,,Anna Komnene,469.78,Dorylaion: advanced via Armenokastron and Leukai to Dorylaion,Specifies presence,J 1116,Editor,,"""the sun was now returning from its large circuits, and as the autumn equinox was passed"""
