Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,RELEVEN location type,Date,Dating authority,Notes
Gilbert,4002,431585,Burgundy,,,Albert of Aachen,II.23,Burgundy: was one of the princes of Burgundy,Does not specify presence,,,was present at Nicaea
Raimbold,4001,431589,Orange,,,Albert of Aachen,II.23,Orange: was count of the city of Orange,Does not specify presence,,,was present at Nicaea
Renaud,4003,431582,Beauvais,,,Albert of Aachen,II.23,Beauvais: was from the city of Beauvais,Does not specify presence,,,was present at Nicaea
Don Walker,26101,431581,Chappes,,,Albert of Aachen,II.23,Chappes: was from the castle of Chappes,Does not specify presence,,,was present at Nicaea
Oliver,26101,431588,Jussey,,,Albert of Aachen,II.23,Jussey: was from the castle of Jussey,Does not specify presence,,,was present at Nicaea
Kilic Arslan,51,431590,Nicaea: lake,,,Albert of Aachen,II.24,Nicaea: lake: could supply the city by using boats on the  lake,Specifies presence,,,
Adhemar,4001,431592,Nicaea,https://pleiades.stoa.org/places/511268,,Albert of Aachen,II.26-27,Nicaea: arrived at the last minute for the battle near Nicaea,Specifies presence,,,
Raymond,61,431591,Nicaea,https://pleiades.stoa.org/places/511268,,Albert of Aachen,II.26-27,Nicaea: arrived at the last minute for the battle near Nicaea,Specifies presence,,,
Baldwin,4005,431594,Nicaea,https://pleiades.stoa.org/places/511268,,Albert of Aachen,II.29,Nicaea: was killed in the siege of Nicaea,Specifies presence,,,
Baldwin,4006,431595,Nicaea,https://pleiades.stoa.org/places/511268,,Albert of Aachen,II.29,Nicaea: was killed in the siege of Nicaea,Specifies presence,,,
Coloman,51,431543,Pannonhalma,,,Albert of Aachen,II.3,Pannonhalma: received ambassadors from <Godfrey 51> at Pannonhalma,Specifies presence,,,
Anonyma,4003,431598,Nicaea: lake,,,Albert of Aachen,II.36,Nicaea: lake: was captured trying to escape across the  lake,Specifies presence,,,
Anonyma,26102,431599,Trier,,,Albert of Aachen,II.37,Trier: was from a convent in Trier,Does not specify presence,,,
Robert,4007,431600,Dorylaion,https://pleiades.stoa.org/places/609367,,Albert of Aachen,II.38-39,Dorylaion: was killed in the first stage of the battle of Dorylaion,Specifies presence,,,
William,4007,431601,Dorylaion,https://pleiades.stoa.org/places/609367,,Albert of Aachen,II.38-39,Dorylaion: was killed in the first stage of the battle of Dorylaion,Specifies presence,,,
Baldwin,51,431547,Tulln,,,Albert of Aachen,II.4,Tulln: was left by <Godfrey 51> in charge of the army at Tulln,Specifies presence,,,
Godfrey,51,431546,Pannonhalma,,,Albert of Aachen,II.4,Pannonhalma: agreed terms to cross Hungary at Pannonhalma,Specifies presence,,,Albert mentions also Sopron
Gerard,4002,431604,Dorylaion,https://pleiades.stoa.org/places/609367,,Albert of Aachen,II.42,Dorylaion: distinguished himself in the battle of Dorylaion,Specifies presence,,,
Robert,62,431605,Dorylaion,https://pleiades.stoa.org/places/609367,,Albert of Aachen,II.42,Dorylaion: distinguished himself in the battle of Dorylaion,Specifies presence,,,
Kilic Arslan,51,431603,Dorylaion,https://pleiades.stoa.org/places/609367,,Albert of Aachen,II.42-43,Dorylaion: after a successful first attack lost the battle of Dorylaion,Specifies presence,,,
Godfrey,51,431548,Drava,,,Albert of Aachen,II.6,Drava: with his men was ferried over the river Drava,Specifies presence,,,
Godfrey,51,431549,Francavilla,,,Albert of Aachen,II.6,Francavilla: spent three days with plentiful food at Francavilla,Specifies presence,,,
Godfrey,51,431550,Malevilla,,,Albert of Aachen,II.6,Malevilla: reached the end of Hungary at Malevilla,Specifies presence,,,
Godfrey,51,431551,Sava,,,Albert of Aachen,II.6,Sava: camped for  five nights on the banks of the Sava,Specifies presence,,,
Godfrey,51,431552,Berino(u)polis,,,Albert of Aachen,II.7,Belgrade: camped in the ruins of Belgrade,Specifies presence,,,
Godfrey,51,431553,Philippopolis,https://pleiades.stoa.org/places/216927,,Albert of Aachen,II.7,Philippopolis: spent eight days in plenty at Philippopolis,Specifies presence,,,
Philippos,4001,431554,France,,,Albert of Aachen,II.7,France: was king of France,Does not specify presence,,,
Godfrey,51,431558,Adrianople (Thrace),https://pleiades.stoa.org/places/5014275,,Albert of Aachen,II.8,Adrianople: was prevented from crossing a bridge at Adrianople,Specifies presence,,,
Godfrey,51,431559,Sely(m)bria (Thrace),https://pleiades.stoa.org/places/511414,,Albert of Aachen,II.8,Selymbria: devastated the countryside in protest at Selymbria,Specifies presence,,,
Godfrey,51,431560,Constantinople: Great Palace,,,Albert of Aachen,II.9-11,Constantinople: Great Palace: refused invitations to the  Great palace,Does not specify presence,,,"Problem of dating, see Anna Komnene, Alexiad"
Tancred,61,431614,Adana,https://pleiades.stoa.org/places/648548,,Albert of Aachen,III.10,Adana: went from Tarsos and was admitted to Adana,Specifies presence,,,
Welf,4001,431613,Adana,https://pleiades.stoa.org/places/648548,,Albert of Aachen,III.10,Adana: had left the main crusading army and seized Adana,Specifies presence,,,
Guynemer,4001,431615,Boulogne,,,Albert of Aachen,III.14,Boulogne: was from Boulogne,Does not specify presence,,,
Richard,4001,431617,Salerno (Italy),,,Albert of Aachen,III.15,Salerno: was from Salerno,Does not specify presence,,,
Richard,4001,431618,"Mopsuestia (Missis(a), Cilicia)",https://pleiades.stoa.org/places/658538,,Albert of Aachen,III.15,Mopsuestia: provoked Tancred by implications of cowardice at Mopsuestia,Specifies presence,,,
Tancred,61,431616,"Mopsuestia (Missis(a), Cilicia)",https://pleiades.stoa.org/places/658538,,Albert of Aachen,III.15,Mopsuestia: attacked and captured Mopsuestia,Specifies presence,,,
Baldwin,51,431619,"Mopsuestia (Missis(a), Cilicia)",https://pleiades.stoa.org/places/658538,,Albert of Aachen,III.16,Mopsuestia: defeated Tancred in a skirmish at Mopsuestia,Specifies presence,,,
Robert,4004,431620,Anzi,https://pleiades.stoa.org/places/442465,,Albert of Aachen,III.16-17,Anzi: was from the town of Anzi,Does not specify presence,,,presence at Mopsuestia
Baldwin,51,431622,Ravendel (Syria),,,Albert of Aachen,III.17,"Ravendel (Syria): when its Turks fled, took over Ravendel (Syria)",Specifies presence,,,
Baldwin,51,431624,Armenia,https://pleiades.stoa.org/places/874350,,Albert of Aachen,III.17,Armenia: on the advice of <Pankratios 4001> entered Armenia,Specifies presence,,,
Pankratios,4001,431623,Ravendel (Syria),,,Albert of Aachen,III.17,Ravendel (Syria): was given by Baldwin (of Edessa) control of Ravendel (Syria),Does not specify presence,,,
Pankratios,4001,431626,Nicaea,https://pleiades.stoa.org/places/511268,,Albert of Aachen,III.17,Nicaea: came into the power of Baldwin (of Edessa) at Nicaea,Specifies presence,,,
Anonymus,26110,431625,Ravendel (Syria),,,Albert of Aachen,III.17,Ravendel (Syria): was put by his father in charge of Ravendel (Syria),Does not specify presence,,,
Thoros,101,431627,"Edessa (Rohas, Mesopotamia)",https://pleiades.stoa.org/places/658457,,Albert of Aachen,III.19,Edessa: was doux of Edessa,Dignity,,,
Baldwin,51,431629,"Edessa (Rohas, Mesopotamia)",https://pleiades.stoa.org/places/658457,,Albert of Aachen,III.19,Edessa: was invited to intervene to protect Edessa,Does not specify presence,,,
Baldwin,51,431630,Euphrates,https://pleiades.stoa.org/places/912849,,Albert of Aachen,III.19,Euphrates: was turned back at the crossing of the Euphrates,Specifies presence,,,
Anonymus,26111,431628,"Edessa (Rohas, Mesopotamia)",https://pleiades.stoa.org/places/658457,,Albert of Aachen,III.19,Edessa: was metropolitan of Edessa,Dignity,,,
Balduk,4001,431631,Samosata (on Euphrates),,,Albert of Aachen,III.21,Samosata: had captured and held Samosata,Does not specify presence,,,
Baldwin,51,431632,St Ioannes,,,Albert of Aachen,III.21,St Ioannes: left knights to harry the Turks at St Ioannes,Specifies presence,,,
Baldwin,51,431633,Samosata (on Euphrates),,,Albert of Aachen,III.21,"Samosata: as his first operation from Edessa, attacked Samosata",Specifies presence,,,
Baldwin,51,431634,"Edessa (Rohas, Mesopotamia)",https://pleiades.stoa.org/places/658457,,Albert of Aachen,III.24,Edessa: was made duke of Edessa,Specifies presence,,,
Tancred,61,431639,Castle of the Maidens,,,Albert of Aachen,III.26,Castle of the Maidens: besieged and captured the Castle of the Maidens,Specifies presence,,,
Tancred,61,431640,Castle of the Shepherds,,,Albert of Aachen,III.26,Castle of the Shepherds: captured and demolished the Castle of the Shepherds,Specifies presence,,,
Tancred,61,431641,Castle of the Young Men,,,Albert of Aachen,III.26,Castle of the Young Men: destroyed the Castle of the Young Men,Specifies presence,,,
Tancred,61,431642,Alexandretta,https://pleiades.stoa.org/places/658371,,Albert of Aachen,III.26,Alexandretta: destroyed the gates and walls of Alexandretta,Specifies presence,,,
Godehilde,4001,431643,Mar'ash,,,Albert of Aachen,III.27,Mar'ash: died at Mar'ash,Specifies presence,,,
Udelard,26101,431644,Mar'ash,,,Albert of Aachen,III.27,Mar'ash: died at Mar'ash,Specifies presence,,,
Robert,62,431645,Artah (Syria),,,Albert of Aachen,III.28,Artah: was sent to free Artah,Specifies presence,,,
Tancred,61,431606,Philomelion (Asia Minor),https://pleiades.stoa.org/places/609501,,Albert of Aachen,III.3,Philomelion: went ahead of the main body to Philomelion,Specifies presence,"1097, August",source,
Tancred,61,431607,Herakleia,https://pleiades.stoa.org/places/511333,,Albert of Aachen,III.3,Herakleia: went ahead of the main body to Herakleia,Specifies presence,"1097, August",source,
Tancred,61,431608,Ikonion,https://pleiades.stoa.org/places/648647,,Albert of Aachen,III.3,Ikonion: went ahead of the main body to Ikonion,Specifies presence,"1097, August",source,
Adhemar,4001,431646,Antioch: Orontes bridge,https://pleiades.stoa.org/places/658381,,Albert of Aachen,III.32,Antioch: Orontes bridge: made a speech the day before they reached the  Orontes bridge,Specifies presence near,,,
Godfrey,51,431609,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Albert of Aachen,III.3-4,Antioch: was badly injured by a bear at Antioch,Specifies presence near,"1097, August",source,
Yaghi Siyan,4001,431647,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Albert of Aachen,III.35,Antioch: was commander of Antioch,Dignity,,,
Fredelo,26101,431648,Esch,,,Albert of Aachen,III.44,Esch: was from the castle of Esch,Does not specify presence,,,
Adelbero,26101,431649,Metz,,,Albert of Aachen,III.46,Metz: was archdeacon of Metz,Dignity,,,was present at Antioch
Tancred,61,431610,Cilician Gates,,,Albert of Aachen,III.5,Cilician Gates: crossed the Cilician Gates,Specifies presence,,,
Tancred,61,431611,Tarsos (Cilicia),https://pleiades.stoa.org/places/648789,,Albert of Aachen,III.5,Tarsos: threatened and besieged Tarsos,Specifies presence,,,
Sven,4001,431650,Philomelion (Asia Minor),https://pleiades.stoa.org/places/609501,,Albert of Aachen,III.54,Philomelion: was killed between Ferna and Philomelion,Specifies presence,,,
Sven,4001,431651,Ferna,,,Albert of Aachen,III.54,Ferna: was killed between Philomelion and Ferna,Specifies presence,,,
Guynemer,4001,431652,Laodikeia (Syria),https://pleiades.stoa.org/places/668290,,Albert of Aachen,III.59,"Laodikeia (Syria): captured, then lost Laodikeia (Syria)",Specifies presence,,,
Everard,4001,431655,St Symeon (monastery),,,Albert of Aachen,III.63,St Symeon (monastery): was ambushed on the return from St Symeon (monastery),Specifies presence,"1098, March",source,
Garnier,4001,431656,St Symeon (monastery),,,Albert of Aachen,III.63,St Symeon (monastery): was ambushed on the return from St Symeon (monastery),Specifies presence,"1098, March",source,
Raymond,61,431654,St Symeon (monastery),,,Albert of Aachen,III.63,St Symeon (monastery): was ambushed on the return from St Symeon (monastery),Specifies presence,"1098, March",source,
Baldwin,51,431612,Tarsos (Cilicia),https://pleiades.stoa.org/places/648789,,Albert of Aachen,III.7-10,Tarsos: clashed with <Tancred 61> over Tarsos,Specifies presence,,,
Kerbogha,4001,431664,"Edessa (Rohas, Mesopotamia)",https://pleiades.stoa.org/places/658457,,Albert of Aachen,IV.12,Edessa: failed to capture Edessa,Specifies presence,,,
Stephanos,4001,431665,Alexandretta,https://pleiades.stoa.org/places/658371,,Albert of Aachen,IV.13,Alexandretta: left Antioch for Alexandretta,Specifies presence,,,
Stephanos,4001,431666,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Albert of Aachen,IV.13,Antioch: on a pretext left Antioch,Specifies presence,,,
Bohemond,26101,431668,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Albert of Aachen,IV.15,Antioch: arranged for <Firuz 4001> to betray Antioch,Specifies presence,,,
Firuz,4001,431667,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Albert of Aachen,IV.15-20,Antioch: treacherously betrayed Antioch,Specifies presence,"1098, June 3",source,
Roger,4001,431669,Antioch: Hagios Petros basilica,https://pleiades.stoa.org/places/658381,,Albert of Aachen,IV.28,Antioch: Hagios Petros basilica: was buried in the porch of the  Hagios Petros basilica,Specifies presence,"1098, June 6",source,
Kerbogha,4001,431670,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Albert of Aachen,IV.29,Antioch: began the siege of Antioch,Specifies presence,"1098, June 6",source,
Franco,4001,431672,Mechelen,,,Albert of Aachen,IV.35,Mechelen: was from the town of Mechelen,Does not specify presence,,,
Sigemar,4001,431673,Mechelen,,,Albert of Aachen,IV.35,Mechelen: was from the town of Mechelen,Does not specify presence,,,
William,4006,431674,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Albert of Aachen,IV.37,Antioch: deserted the army from Antioch,Specifies presence,,,
William,4008,431675,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Albert of Aachen,IV.37,Antioch: deserted the army from Antioch,Specifies presence,,,
Stephanos,4001,431677,Philomelion (Asia Minor),https://pleiades.stoa.org/places/609501,,Albert of Aachen,IV.40,Philomelion: met <Alexios 1> at Philomelion,Specifies presence,,,
William,4006,431678,Philomelion (Asia Minor),https://pleiades.stoa.org/places/609501,,Albert of Aachen,IV.40,Philomelion: met <Alexios 1> at Philomelion,Specifies presence,,,
William,4008,431679,Philomelion (Asia Minor),https://pleiades.stoa.org/places/609501,,Albert of Aachen,IV.40,Philomelion: met <Alexios 1> at Philomelion,Specifies presence,,,
Petros,4004,431680,Provence,,,Albert of Aachen,IV.43,Provence: was from Provence,Does not specify presence,,,
Petros,4004,431681,Antioch: Hagios Petros basilica,https://pleiades.stoa.org/places/658381,,Albert of Aachen,IV.43,Antioch: Hagios Petros basilica: saw in a vision the lance which pierced Christ's side buried in the  Hagios Petros basilica,Specifies presence,,,
Kilic Arslan,51,431682,Antioch (on the Orontes),https://pleiades.stoa.org/places/658381,,Albert of Aachen,IV.48,Antioch: was presented as second-in-command to <Kerbogha 4001> in the battle of Antioch,Specifies presence,"1098, June 28",source,
Baldwin,51,431659,Dandronuch,,,Albert of Aachen,IV.6,Dandronuch: according to <Kerbogha 4001> had captured Dandronuch,Does not specify presence,,,the source connects this event to the Christians in general
Baldwin,51,431660,Harunii,,,Albert of Aachen,IV.6,Harunii: according to <Kerbogha 4001> had captured Harunii,Does not specify presence,,,the source connects this event to the Christians in general
